Region,Node Name,Uplink,Trunk,OM,SIP,HSI,IPOE,H248,RTP,AG1,AG2,Auth IP,UnAuth IP,HSI AGG,HSI Interface,BNG,BNG Port,HSI VSI,SIP IP,SIP AGG,SIP Interface,SIP VSI
SLZ,BCR_144_GPONA_01,BCR_144_TDCAN_910CB_01_SL2623,Eth-Trunk4||GE0/2/4(10G),2972,745,1759,400,-,-,10.81.22.12,10.175.52.4,10.199.224.0/22,10.202.184.0/24,CRMMSC-FMAGG-001-SL590,100GE1/1/16.1759,CMO_CRM_BNG_001,ET-5/1/0,HSI-1759,100.115.72.0/21,BACOOR-FMAGG-001-SL565,VE1/0/0.745,SIP-745
SLZ,BCR_144_HYB_01,BCR_144_TDCAN_910CB_01_SL2623,Eth-Trunk5||GE0/2/5(10G),2972,745,1759,400,-,-,10.81.22.12,10.175.52.4,10.60.64.0/20,10.75.128.0/22,CRMMSC-FMAGG-001-SL590,100GE1/1/16.1759,CMO_CRM_BNG_001,ET-5/1/0,HSI-1759,100.115.72.0/21,BACOOR-FMAGG-001-SL565,VE1/0/0.745,SIP-745
SLZ,BCR_146_GPONA_01,BCR_146_TDCAN_910D_01_SL2625,Eth-Trunk3||GE0/2/3(10G),1867,1904,1756,400,-,-,10.175.52.68,10.175.52.66,100.89.76.0/22,100.118.11.0/24,NASGBU-FMAGG-001-SL295,100GE1/0/36.1756,NSU_NSB_CGN_003_IPOE,ET-1/0/2,HSI-1756,100.86.0.0/19,BACOOR-FMAGG-002-SL565,VE1/0/0.1904,SIP-70001904
SLZ,BCR_148_GPONA_01,BCR_148_TDCAN_910CB_01_SL2626,Eth-Trunk3||GE0/2/4(10G),1867,745,1759,400,-,-,10.81.22.12,10.175.52.4,100.89.184.0/22,100.118.38.0/24,CRMMSC-FMAGG-001-SL590,100GE1/1/16.1759,CMO_CRM_BNG_001,ET-5/1/0,HSI-1759,100.115.72.0/21,BACOOR-FMAGG-001-SL565,VE1/0/0.745,SIP-745
SLZ,BCR_148_HYB_01,BCR_148_TDCAN_910CB_01_SL2626,Eth-Trunk4||GE0/2/13|GE0/2/14,783,784,798,400,-,-,10.81.22.12,10.175.52.4,100.91.132.0/23,100.118.212.0/25,CRMMSC-FMAGG-002-SL590,100GE1/1/16.798,CMO_CRM_BNG_001,ET-10/3/0,HSI-798,100.108.144.0/20,BACOOR-FMAGG-002-SL565,VE1/0/0.784,SIP-784
SLZ,BCR_149_GPONA_01,BCR_149_TDCAN_910CB_01_SL2627,Eth-Trunk3||GE0/2/4(10G),1867,"1910
3852",1759,400,-,-,10.81.22.12,10.175.52.4,100.88.204.0/22,100.117.234.0/24,CRMMSC-FMAGG-001-SL590,100GE1/1/16.1759,CMO_CRM_BNG_001,ET-5/1/0,HSI-1759,"100.86.112.0/20
100.82.240.0/20
100.82.240.0/20","BACOOR-FMAGG-002-SL565
BACOOR-FMAGG-002-SL565
BACOOR-SL565-AGGFMN-X16A-02","VE1/0/0.1910
VE1/0/0.3852
VE10/0/0.3852","SIP-70001910
SIP-70003852
SIP-70003852"
SLZ,BCR_149_HYB_01,BCR_149_TDCAN_910CB_01_SL2627,Eth-Trunk2||GE0/2/13|GE0/2/14,783,784,798,400,-,-,10.81.22.12,10.175.52.4,100.91.146.0/24,100.118.219.0/25,CRMMSC-FMAGG-002-SL590,100GE1/1/16.798,CMO_CRM_BNG_001,ET-10/3/0,HSI-798,100.108.144.0/20,BACOOR-FMAGG-002-SL565,VE1/0/0.784,SIP-784
SLZ,BCR_150_GPONA_01,BCR_150_TDCAN_910CB_01_SL2628,Eth-Trunk3||GE0/2/5(10G),1867,745,1759,400,-,-,10.175.52.4,10.81.22.12,100.88.156.0/22,100.117.222.0/24,CRMMSC-FMAGG-001-SL590,100GE1/1/16.1759,CMO_CRM_BNG_001,ET-5/1/0,HSI-1759,100.115.72.0/21,BACOOR-FMAGG-001-SL565,VE1/0/0.745,SIP-745
SLZ,BCR_151_HYB_01,BCR_151_TDCAN_910CB_01_SL2629,Eth-Trunk4||GE0/2/13|GE0/2/14,783,784,798,400,-,-,10.81.22.12,10.175.52.4,100.91.136.0/22,100.118.215.0/25,CRMMSC-FMAGG-002-SL590,100GE1/1/16.798,CMO_CRM_BNG_001,ET-10/3/0,HSI-798,100.108.144.0/20,BACOOR-FMAGG-002-SL565,VE1/0/0.784,SIP-784
SLZ,BCR_152_GPONA_01,BCR_152_TDCAN_910CB_01_SL2630,Eth-Trunk3||GE0/2/4(10G),1867,"1910
3852",1759,400,-,-,10.81.22.12,10.175.52.4,100.89.56.0/22,100.118.6.0/24,CRMMSC-FMAGG-001-SL590,100GE1/1/16.1759,CMO_CRM_BNG_001,ET-5/1/0,HSI-1759,"100.86.112.0/20
100.82.240.0/20
100.82.240.0/20","BACOOR-FMAGG-002-SL565
BACOOR-FMAGG-002-SL565
BACOOR-SL565-AGGFMN-X16A-02","VE1/0/0.1910
VE1/0/0.3852
VE10/0/0.3852","SIP-70001910
SIP-70003852
SIP-70003852"
SLZ,BCR_152_HYB_01,BCR_152_TDCAN_910CB_01_SL2630,Eth-Trunk4||GE0/2/13|GE0/2/14,783,784,798,400,-,-,10.81.22.12,10.175.52.4,100.91.136.0/23,100.118.214.0/25,CRMMSC-FMAGG-002-SL590,100GE1/1/16.798,CMO_CRM_BNG_001,ET-10/3/0,HSI-798,100.108.144.0/20,BACOOR-FMAGG-002-SL565,VE1/0/0.784,SIP-784
SLZ,BCR_153_HYB_01,BCR_153_TDCAN_T910CG_01_SL2631,Eth-Trunk2||GE0/2/4(10G),783,784,798,400,-,-,10.81.22.12,10.175.52.4,10.58.208.0/21,10.82.100.0/23,CRMMSC-FMAGG-002-SL590,100GE1/1/16.798,CMO_CRM_BNG_001,ET-10/3/0,HSI-798,100.108.144.0/20,BACOOR-FMAGG-002-SL565,VE1/0/0.784,SIP-784
SLZ,BCR_154_GPONA_01,BCR_154_TDCAN_910CG_01_SL2632,Eth-Trunk3||GE0/2/1(10G),3397,3972,798,400,-,-,10.81.22.12,10.175.52.4,10.224.116.0/22,10.243.29.0/24,CRMMSC-FMAGG-002-SL590,100GE1/1/16.798,CMO_CRM_BNG_001,ET-10/3/0,HSI-798,10.79.64.0/18,BACOOR-FMAGG-002-SL565,VE1/0/0.3972,SIP-70003972
SLZ,BCR_154_HYB_01,BCR_154_TDCAN_910CG_01_SL2632,Eth-Trunk2||GE0/2/4(10G),783,784,798,400,-,-,10.81.22.12,10.175.52.4,100.86.244.0/22,100.117.117.0/24,CRMMSC-FMAGG-002-SL590,100GE1/1/16.798,CMO_CRM_BNG_001,ET-10/3/0,HSI-798,100.108.144.0/20,BACOOR-FMAGG-002-SL565,VE1/0/0.784,SIP-784
SLZ,BCR_155_GPONA_01,BCR-155-SL2744-ATN910C-01,Eth-Trunk4||GE0/2/4(10G),1867,1910,1765,400,-,-,10.81.22.12,10.175.52.69,100.102.156.0/22,100.123.39.0/24,CRMMSC-FMAGG-001-SL590,100GE1/1/16.1765,CMO_CRM_BNG_001,ET-5/1/0,HSI-1765,100.86.112.0/20,BACOOR-FMAGG-002-SL565,VE1/0/0.1910,SIP-70001910
