Region,Node Name,Uplink,Uplink_NMS,Trunk,Trunk_NMS,OM,OM_NMS,SIP,SIP_NMS,HSI,HSI_NMS,IPOE,IPOE_NMS,SIGNALING,SIGNALING_NMS,MEDIA,MEDIA_NMS,Auth IP,Auth IP_NMS,UnAuth IP,UnAuth IP_NMS
NCR,PRC_000_HYB_02,ATN910C,PARC_000_TDCAN_910C_01_NCR435,PARC-000-NCR435-ATN910C-01/Eth-Trunk4/0/2/5-0/2/6,Eth-Trunk4||GE0/2/5(10G)|GE0/2/6(10G),1093,N/A,1731,"1653
1731",1096,N/A,400,N/A,nan,,nan,,100.79.38.0/23,N/A,100.116.20.0/25,N/A
NCR,PQE_206_VDB_01,-,Sucat-NCR1030-AGFN-X2-01,-,GigabitEthernet0/1/0,1313,N/A,2675,N/A,1316,"1205
1316",400,N/A,nan,,nan,,100.81.180.0/24,N/A,100.116.144.64/26,N/A
NCR,PQE_624_VDB_01,ATN910B,PQE-624-NCR1548-ATN910B-01,PQE-624-NCR1548-ATN910C-01,Eth-Trunk3||GE0/2/19|GE0/2/20,3072,N/A,3348,3349,3349,3348,400,N/A,nan,,nan,,100.83.8.0/26,N/A,100.116.226.80/28,N/A
NCR,PSG_108_HYB_01,ATN910B,PSG_108_TDCAN_T910C_01_NCR2696,PSG-108-NCR2696-ATN910C-01,Eth-Trunk3||GE0/2/4(10G),907,N/A,2122,N/A,910,N/A,400,N/A,nan,,nan,,100.76.222.0/23,10.159.128.0/21,100.115.90.0/25,10.196.80.0/23
NCR,PSG_114_HYB_01,ATN910B,PSG-114-NCR2484-ATN910B-01,PSG-114-NCR2484-ATN910C-01,Eth-Trunk3||GE0/2/19|GE0/2/20,901,3744,949,"949
1103",904,N/A,400,-,nan,,nan,,100.78.50.0/23,-,100.115.186.128/25,-
NCR,PQE_710_VDA_01,ATN910C-D,PQE-710-NCR2582-ATN910C-01,PQE-710-NCR2582-ATN910C-01,GigabitEthernet0/2/10,3072,N/A,,814,716,N/A,400,N/A,661,,662,,100.82.158.0/25,N/A,100.116.195.0/27,N/A
NCR,PSG_115_HYB_01,ATN910C-B,PSG-115-NCR2509-ATN910C-01,PSG-115-NCR2509-ATN910C-01,Eth-Trunk3||GE0/2/4(10G),901,N/A,"949
2452",N/A,904,N/A,400,N/A,nan,,nan,,100.76.212.0/23,10.158.64.0/20,100.115.85.0/25,10.196.0.0/22
NCR,PSG_122_HYB_01,ATN910B,PSG_122_TDCAN_01_T910B_NCR2514,PSG-122-NCR2514-ATN910C-01,Eth-Trunk3||GE0/2/19|GE0/2/20,907,N/A,2122,,910,"910
2122",400,-,nan,,nan,,100.78.230.0/23,-,100.115.159.128/25,-
NCR,PSG_124_HYB_01,ATN910C-B,PSG_124_TDCAN_910C_01_NCR2596,PSG-124-NCR2596-ATN910C-01,Eth-Trunk3||GE0/2/13|GE0/2/14,925,N/A,2127,N/A,928,N/A,400,N/A,nan,,nan,,100.77.246.0/23,10.159.136.0/21,100.115.190.0/25,10.196.82.0/23
NCR,PSG_129_HYB_01,ATN910C-B,PSG_129_TDCAN_910C_01_NCR2526,PSG-129-NCR2526-ATN910C-01,Eth-Trunk3||GE0/2/4(10G),925,N/A,"2452
2648",N/A,928,N/A,400,N/A,nan,,nan,,100.78.12.0/23,10.158.80.0/20,100.115.97.128/25,10.196.4.0/22
